ID,Latitude,Longitude,City,State,Population
22802,32.44874,-99.73314,Abilene,TX,121721
22803,32.96179,-96.82917,Addison,TX,15518
22804,26.18369,-98.12306,Alamo,TX,19246
22805,29.93245,-95.38021,Aldine,TX,15869
22806,27.75225,-98.06972,Alice,TX,19408
22807,29.71106,-95.59633,Alief,TX,98725
22808,33.10317,-96.67055,Allen,TX,98143
22809,26.28729,-98.31335,Alton,TX,15760
22810,29.42385,-95.2441,Alvin,TX,25791
22811,29.16941,-95.43188,Angleton,TX,19429
22812,32.73569,-97.10807,Arlington,TX,388125
22813,29.99883,-95.1766,Atascocita,TX,65844
22814,30.26715,-97.74306,Austin,TX,931830
22815,32.72874,-96.62277,Balch Springs,TX,25210
22816,29.7355,-94.97743,Baytown,TX,76335
22817,30.08605,-94.10185,Beaumont,TX,118129
22818,32.84402,-97.14307,Bedford,TX,49337
22819,29.70579,-95.45883,Bellaire,TX,18518
22820,31.05601,-97.46445,Belton,TX,20547
22821,32.67319,-97.46058,Benbrook,TX,22629
22822,30.16688,-96.39774,Brenham,TX,16579
22823,25.90175,-97.49748,Brownsville,TX,183887
22824,31.70932,-98.99116,Brownwood,TX,19031
22825,30.51353,-97.73973,Brushy Creek,TX,21764
22826,30.67436,-96.36996,Bryan,TX,82118
22827,32.54208,-97.32085,Burleson,TX,43625
22828,29.87522,-98.26251,Canyon Lake,TX,21262
22829,32.95373,-96.89028,Carrollton,TX,133168
22830,32.58847,-96.95612,Cedar Hill,TX,48507
22831,30.5052,-97.82029,Cedar Park,TX,65945
22832,29.77606,-95.11465,Channelview,TX,38289
22833,29.56162,-98.22696,Cibolo,TX,33433
22834,29.73884,-95.758,Cinco Ranch,TX,18274
22835,32.34764,-97.38668,Cleburne,TX,30020
22836,29.77828,-95.17188,Cloverleaf,TX,22942
22837,30.62798,-96.33441,College Station,TX,107889
22838,32.88096,-97.15501,Colleyville,TX,25487
22839,30.31188,-95.45605,Conroe,TX,68602
22840,29.51801,-98.31612,Converse,TX,21987
22841,32.95457,-97.01501,Coppell,TX,41159
22842,31.12406,-97.90308,Copperas Cove,TX,33081
22843,33.15401,-97.06473,Corinth,TX,20998
22844,27.80058,-97.39638,Corpus Christi,TX,324074
22845,32.09543,-96.46887,Corsicana,TX,23952
22846,29.96911,-95.69717,Cypress,TX,46025
22847,32.78306,-96.80667,Dallas,TX,1300092
22848,32.58986,-96.85695,DeSoto,TX,52486
22849,29.70523,-95.12382,Deer Park,TX,33806
22850,33.75566,-96.53666,Denison,TX,23150
22851,33.21484,-97.13307,Denton,TX,131044
22852,29.46079,-95.05132,Dickinson,TX,19895
22853,26.17035,-98.05195,Donna,TX,16523
22854,32.6518,-96.90834,Duncanville,TX,39826
22855,26.30174,-98.16334,Edinburg,TX,84497
22856,32.32931,-96.62527,Ennis,TX,19007
22857,32.83707,-97.08195,Euless,TX,54219
22858,32.92651,-96.89612,Farmers Branch,TX,32689
22859,33.01457,-97.09696,Flower Mound,TX,71253
22860,32.74818,-96.47193,Forney,TX,18418
22861,32.72541,-97.32085,Fort Worth,TX,918915
22862,29.53885,-95.44744,Fresno,TX,19069
22863,29.5294,-95.20104,Friendswood,TX,38800
22864,33.15067,-96.82361,Frisco,TX,154407
22865,33.62594,-97.13335,Gainesville,TX,16292
22866,29.30135,-94.7977,Galveston,TX,50180
22867,32.91262,-96.63888,Garland,TX,236897
22868,31.43516,-97.74391,Gatesville,TX,15724
22869,30.63269,-97.67723,Georgetown,TX,63716
22870,32.74596,-96.99778,Grand Prairie,TX,187809
22871,32.93429,-97.07807,Grapevine,TX,51404
22872,33.13845,-96.11081,Greenville,TX,26515
22873,29.94827,-93.91712,Groves,TX,15750
