ID,Latitude,Longitude,City,State,Population,Zoo,Num of Zoos,Pet Shops,Num of Pet Shops,Light Rail,Num of Light Rails
22849,29.70523,-95.12382,Deer Park,TX,33806,No zoo found,0.0,Pawsh Dog House,4.0,Starbucks,4.0
22850,33.75566,-96.53666,Denison,TX,23150,No zoo found,0.0,PetSmart,2.0,Starbucks,2.0
22851,33.21484,-97.13307,Denton,TX,131044,No zoo found,0.0,Fish n' Chirps Pet Center,4.0,Starbucks,10.0
22852,29.46079,-95.05132,Dickinson,TX,19895,Bayou Safari Wildlife Park,2.0,PetSmart,5.0,Starbucks,13.0
22853,26.17035,-98.05195,Donna,TX,16523,No zoo found,0.0,Petco,2.0,Starbucks,2.0
22854,32.6518,-96.90834,Duncanville,TX,39826,Dallas Zoo,2.0,Pet Village,5.0,Starbucks,7.0
22855,26.30174,-98.16334,Edinburg,TX,84497,No zoo found,0.0,Petco,3.0,Starbucks,7.0
22856,32.32931,-96.62527,Ennis,TX,19007,No zoo found,0.0,No BBQ found,0.0,No Light Rail found,0.0
22857,32.83707,-97.08195,Euless,TX,54219,No zoo found,0.0,Petco,9.0,Starbucks,37.0
22858,32.92651,-96.89612,Farmers Branch,TX,32689,No zoo found,0.0,Rocking Y Feed & Pet,17.0,Starbucks,75.0
22859,33.01457,-97.09696,Flower Mound,TX,71253,No zoo found,0.0,Petco,10.0,Starbucks,44.0
22860,32.74818,-96.47193,Forney,TX,18418,No zoo found,0.0,PetSmart,1.0,Starbucks,3.0
22861,32.72541,-97.32085,Fort Worth,TX,918915,Fort Worth Zoo,1.0,PetSmart,7.0,Cherry Coffee Shop,30.0
22862,29.53885,-95.44744,Fresno,TX,19069,No zoo found,0.0,Natural Pawz,1.0,Starbucks,8.0
22863,29.5294,-95.20104,Friendswood,TX,38800,Bayou Safari Wildlife Park,2.0,PetSmart,6.0,Starbucks,12.0
22864,33.15067,-96.82361,Frisco,TX,154407,No zoo found,0.0,Petco,6.0,Summer Moon Coffee,36.0
22865,33.62594,-97.13335,Gainesville,TX,16292,Frank Buck Zoo,1.0,No BBQ found,0.0,Starbucks,1.0
22866,29.30135,-94.7977,Galveston,TX,50180,No zoo found,0.0,PetSmart,2.0,Red Light Coffee Roasters,5.0
22867,32.91262,-96.63888,Garland,TX,236897,No zoo found,0.0,Roach Feed and Seed,12.0,Rosalind Coffee Company,53.0
22868,31.43516,-97.74391,Gatesville,TX,15724,No zoo found,0.0,No BBQ found,0.0,No Light Rail found,0.0
22869,30.63269,-97.67723,Georgetown,TX,63716,No zoo found,0.0,PetSmart,3.0,Black Sugar Caffe,17.0
22870,32.74596,-96.99778,Grand Prairie,TX,187809,No zoo found,0.0,PetSmart,6.0,Starbucks,17.0
22871,32.93429,-97.07807,Grapevine,TX,51404,No zoo found,0.0,Petco,11.0,Starbucks,45.0
22872,33.13845,-96.11081,Greenville,TX,26515,No zoo found,0.0,Petco,1.0,Starbucks,1.0
22873,29.94827,-93.91712,Groves,TX,15750,No zoo found,0.0,Petco,2.0,Starbucks,2.0
22874,32.79957,-97.26918,Haltom City,TX,44206,Fort Worth Zoo,1.0,PetSmart,13.0,Race Street Coffee,29.0
22875,31.08351,-97.65974,Harker Heights,TX,29142,No zoo found,0.0,Petco,2.0,Starbucks,5.0
22876,26.19063,-97.6961,Harlingen,TX,65774,No zoo found,0.0,The Paw Pantry,2.0,Starbucks,2.0
22877,33.09179,-97.04668,Highland Village,TX,16149,No zoo found,0.0,Petco,2.0,Starbucks,18.0
22878,29.76328,-95.36327,Houston,TX,2296224,Cockrell Butterfly Center,3.0,PetSmart,18.0,Starbucks,73.0
22879,29.99883,-95.26216,Humble,TX,15665,No zoo found,0.0,Petco,9.0,Starbucks,26.0
22880,30.72353,-95.55078,Huntsville,TX,40938,No zoo found,0.0,No BBQ found,0.0,Starbucks,2.0
22881,32.82346,-97.17057,Hurst,TX,39016,No zoo found,0.0,Petco,12.0,Starbucks,40.0
22882,30.5427,-97.54667,Hutto,TX,22722,No zoo found,0.0,Petco,5.0,Starbucks,13.0
22883,32.81402,-96.94889,Irving,TX,236607,Dallas Zoo,2.0,Saltwater Paradise,8.0,Starbucks,37.0
22884,30.4427,-97.77501,Jollyville,TX,16151,No zoo found,0.0,Pet Supplies Plus,25.0,The Coffee Bean & Tea Leaf,51.0
22885,29.78579,-95.8244,Katy,TX,16158,No zoo found,0.0,Petco,6.0,Serene Beans,19.0
22886,32.93457,-97.25168,Keller,TX,45758,No zoo found,0.0,Petco,14.0,Starbucks,30.0
22887,30.04743,-99.14032,Kerrville,TX,23136,No zoo found,0.0,Pet Supplies Plus,2.0,Starbucks,2.0
22888,31.11712,-97.7278,Killeen,TX,140806,No zoo found,0.0,The Pet Stop,2.0,Starbucks,5.0
22889,27.51587,-97.85611,Kingsville,TX,26225,No zoo found,0.0,No BBQ found,0.0,Starbucks,1.0
22890,29.98911,-97.87723,Kyle,TX,35733,Texas Wildlife Petting Park,1.0,Petco,1.0,Kyle's Daily Grind,9.0
22891,29.36857,-94.97131,La Marque,TX,15908,No zoo found,0.0,BoneVoyage Pet Resort,3.0,Starbucks,5.0
22892,29.66578,-95.01937,La Porte,TX,35148,No zoo found,0.0,Petco,4.0,Starbucks,7.0
22893,29.03386,-95.43439,Lake Jackson,TX,27533,No zoo found,0.0,PetSmart,1.0,Starbucks,1.0
22894,32.59208,-96.75611,Lancaster,TX,38801,No zoo found,0.0,PetSmart,2.0,Starbucks,1.0
22895,27.50641,-99.50754,Laredo,TX,255473,Zoologico de Nuevo Laredo,1.0,Petco,3.0,Starbucks,7.0
22896,29.50745,-95.09493,League City,TX,98312,Bayou Safari Wildlife Park,2.0,Petco,5.0,Starbucks,13.0
22897,30.57881,-97.85307,Leander,TX,37889,No zoo found,0.0,Petco,12.0,Starbucks,21.0
22898,33.04623,-96.99417,Lewisville,TX,104039,No zoo found,0.0,Petco,8.0,Starbucks,25.0
22899,33.16262,-96.93751,Little Elm,TX,38341,No zoo found,0.0,Petco,3.0,Starbucks,23.0
22900,29.56523,-98.3364,Live Oak,TX,15346,Natural Bridge Wildlife Ranch,1.0,Petco,4.0,Starbucks,19.0
22901,32.5007,-94.74049,Longview,TX,82287,No zoo found,0.0,Dog Style Canine Supply Company,3.0,Starbucks,3.0
